Archivio estrazioni VinciCasa
Concorso	Data	N.1	N.2	N.3	N.4	N.5	V5	Q5	V4	Q4	V3	Q3	V2	Q2
307	03/11/2023	8	20	22	31	34	0	50000000	7	20353	189	2665	2451	283
306	02/11/2023	4	5	7	29	31	0	50000000	11	14551	322	1757	3337	233
305	01/11/2023	1	8	23	32	37	0	50000000	3	33359	170	2081	1796	271
304	31/10/2023	5	6	24	26	40	0	50000000	7	22728	283	1988	3007	258
303	30/10/2023	8	11	27	37	39	0	50000000	8	15665	242	1831	2493	245
302	29/10/2023	9	17	18	31	38	0	50000000	0	0	153	2507	1646	310
301	28/10/2023	10	19	35	39	40	0	50000000	12	15902	300	2249	3395	274
300	27/10/2023	4	15	21	25	26	0	50000000	6	23294	243	2034	2637	258
299	26/10/2023	7	19	25	34	40	0	50000000	11	13984	257	2116	2893	259
298	25/10/2023	2	8	25	36	40	0	50000000	5	26549	204	2301	2426	266
297	24/10/2023	8	18	22	29	33	0	50000000	2	75966	295	1821	2815	263
296	23/10/2023	1	4	21	30	39	0	50000000	6	21586	157	2917	2190	288
295	22/10/2023	2	17	27	31	39	0	50000000	3	32277	147	2329	1746	270
294	21/10/2023	1	9	11	15	22	0	50000000	8	24617	463	1504	4386	219
293	20/10/2023	5	7	14	29	30	0	50000000	5	27981	300	1649	2860	238
292	19/10/2023	13	16	26	29	40	0	50000000	7	22328	244	2265	2658	286
291	18/10/2023	2	13	16	21	40	0	50000000	8	16928	246	1946	2604	253
290	17/10/2023	13	27	31	37	38	0	50000000	8	19781	215	2603	2538	304
289	16/10/2023	11	13	24	32	39	0	50000000	5	26543	177	2651	2192	295
288	15/10/2023	10	24	25	28	34	0	50000000	2	49551	126	2781	1663	290
287	14/10/2023	3	7	25	29	36	0	50000000	15	13492	337	2123	3981	247
286	13/10/2023	10	13	25	27	35	0	50000000	12	12308	290	1801	2960	243
285	12/10/2023	1	8	10	22	26	0	50000000	10	15969	359	1573	3485	223
284	11/10/2023	2	12	16	21	37	0	50000000	6	22861	219	2215	2607	256
283	10/10/2023	12	13	26	32	34	0	50000000	6	26616	171	3302	2559	304
282	09/10/2023	6	7	27	32	35	0	50000000	5	26289	165	2817	2275	281
281	08/10/2023	3	13	20	30	35	0	50000000	7	13803	141	2423	1710	275
280	07/10/2023	12	15	28	35	37	0	50000000	8	24444	258	2680	3130	304
279	06/10/2023	1	5	12	30	32	0	50000000	5	28826	226	2255	2719	258
278	05/10/2023	16	22	25	33	37	0	50000000	6	26244	220	2531	2442	314
277	04/10/2023	2	7	18	26	35	0	50000000	4	34203	204	2371	2346	284
276	03/10/2023	1	18	25	30	38	0	50000000	6	26285	207	2694	2539	302
275	02/10/2023	7	14	23	27	37	1	50000000	13	10249	294	1602	2714	239
274	01/10/2023	1	6	12	24	30	0	50000000	6	16043	187	1820	1920	244
273	30/09/2023	2	15	16	19	40	0	50000000	9	21590	341	2015	3623	261
272	29/09/2023	5	21	22	37	38	0	50000000	3	46750	192	2583	2304	296
271	28/09/2023	1	7	24	32	37	0	50000000	4	38322	182	2978	2409	310
270	27/09/2023	20	23	24	26	33	0	50000000	3	44015	173	2699	2316	278
269	26/09/2023	8	13	23	31	35	0	50000000	10	15451	270	2023	2910	258
268	25/09/2023	9	14	18	35	38	0	50000000	11	11731	180	2535	2105	299
267	24/09/2023	2	7	11	27	30	0	50000000	4	24145	235	1453	2191	215
266	23/09/2023	4	12	16	32	39	0	50000000	8	24091	286	2383	3364	279
265	22/09/2023	13	17	20	32	37	0	50000000	8	17705	202	2479	2330	296
264	21/09/2023	6	19	26	35	37	0	50000000	7	22330	212	2607	2577	295
263	20/09/2023	8	20	23	27	36	0	50000000	14	9588	258	1839	2745	238
262	19/09/2023	7	11	21	22	26	0	50000000	11	14148	335	1642	3358	226
261	18/09/2023	1	2	11	13	30	0	50000000	5	26455	250	1871	2617	246
260	17/09/2023	20	22	25	34	39	0	50000000	0	0	102	3805	1429	361
259	16/09/2023	6	9	12	25	29	0	50000000	19	10137	475	1433	4401	213
258	15/09/2023	4	8	12	27	32	0	50000000	14	9958	300	1643	2886	235
257	14/09/2023	11	13	21	27	40	0	50000000	11	14185	308	1791	3199	237
256	13/09/2023	6	11	13	20	32	0	50000000	11	12199	287	1653	2788	234
255	12/09/2023	1	10	16	22	30	0	50000000	11	14043	278	1965	2982	252
254	11/09/2023	8	9	16	19	30	1	50000000	12	10700	285	1593	2850	219
253	10/09/2023	9	10	19	20	37	0	50000000	11	8650	224	1502	2080	223
252	09/09/2023	10	15	36	39	40	0	50000000	13	14567	267	2508	3026	305
251	08/09/2023	2	17	18	28	31	0	50000000	4	34903	199	2481	2451	277
250	07/09/2023	16	17	27	30	35	0	50000000	5	30959	225	2433	2480	304
249	06/09/2023	4	6	31	37	38	0	50000000	1	133399	159	2967	2128	305
248	05/09/2023	2	3	12	16	21	0	50000000	6	25692	359	1518	3266	230
247	04/09/2023	9	10	15	25	32	0	50000000	7	18750	220	2109	2441	262
246	03/09/2023	12	22	31	32	40	0	50000000	5	19191	116	2925	1506	310
245	02/09/2023	10	12	15	19	40	0	50000000	16	11869	365	1840	4025	230
244	01/09/2023	5	16	27	33	40	0	50000000	5	28271	231	2164	2651	260
243	31/08/2023	4	17	20	22	38	0	50000000	13	11820	268	2027	2928	255
242	30/08/2023	14	15	16	22	28	0	50000000	4	32914	207	2249	2296	279
241	29/08/2023	5	7	28	31	34	0	50000000	4	37416	246	2151	2748	265
240	28/08/2023	7	8	27	31	36	0	50000000	2	61303	223	1944	2503	238
239	27/08/2023	5	12	15	22	28	0	50000000	5	18621	208	1583	2002	226
238	26/08/2023	4	11	14	17	28	0	50000000	12	14588	420	1473	3737	228
237	25/08/2023	5	18	23	32	40	0	50000000	9	14331	218	2092	2366	265
236	24/08/2023	2	6	12	14	26	0	50000000	10	14503	300	1709	2971	238
235	23/08/2023	13	15	23	27	29	0	50000000	4	31037	251	1749	2446	247
234	22/08/2023	4	7	18	35	40	0	50000000	6	24033	233	2188	2671	263
233	21/08/2023	24	25	33	35	40	0	50000000	3	40030	127	3344	1776	329
232	20/08/2023	6	19	31	36	40	0	50000000	6	15043	105	3040	1530	287
231	19/08/2023	11	23	29	32	36	0	50000000	1	171152	255	2373	2761	302
230	18/08/2023	1	26	31	32	35	0	50000000	2	65882	130	3584	1656	388
229	17/08/2023	3	8	24	28	39	0	50000000	7	20679	272	1882	2802	251
228	16/08/2023	12	14	21	29	40	0	50000000	3	42152	198	2258	2360	261
227	15/08/2023	3	12	18	21	35	0	50000000	5	16212	154	1861	1587	249
226	14/08/2023	6	9	16	21	35	0	50000000	3	47249	259	1935	2675	258
225	13/08/2023	1	12	21	28	34	0	50000000	5	19114	137	2467	1663	280
224	12/08/2023	14	17	23	26	27	0	50000000	13	13949	331	1937	3572	247
223	11/08/2023	8	9	11	20	23	0	50000000	25	5572	478	1030	3545	191
222	10/08/2023	2	4	18	37	40	0	50000000	7	22431	253	2194	2718	281
221	09/08/2023	8	27	31	34	39	0	50000000	3	44641	190	2492	2285	285
220	08/08/2023	2	4	27	36	38	0	50000000	4	38729	184	2977	2659	284
219	07/08/2023	5	9	16	21	23	0	50000000	14	9428	331	1410	2987	215
218	06/08/2023	4	18	23	33	37	0	50000000	6	16255	153	2254	1644	289
217	05/08/2023	8	13	19	27	35	0	50000000	18	10681	402	1691	4011	233
216	04/08/2023	4	17	28	29	33	0	50000000	9	15740	212	2363	2674	258
215	03/08/2023	6	15	29	39	40	0	50000000	7	22803	205	2753	2684	290
214	02/08/2023	11	16	20	22	36	0	50000000	8	16795	230	2065	2501	262
213	01/08/2023	5	6	7	12	22	0	50000000	11	14638	489	1164	3952	198
212	31/07/2023	6	19	20	27	40	0	50000000	5	26088	247	1867	2711	234
211	30/07/2023	3	7	8	30	40	1	50000000	6	15575	221	1495	2209	206
210	29/07/2023	8	15	21	27	40	0	50000000	8	23396	323	2049	3688	247
209	28/07/2023	17	20	21	28	30	1	50000000	4	34861	238	2072	2712	250
208	27/07/2023	3	5	15	21	24	0	50000000	16	9677	340	1610	3247	232
207	26/07/2023	8	12	18	22	33	0	50000000	18	7326	306	1523	2647	242
206	25/07/2023	19	27	31	32	36	0	50000000	6	25332	173	3107	2256	328
205	24/07/2023	3	6	7	10	30	0	50000000	10	12617	356	1253	3010	204
204	23/07/2023	8	12	18	21	33	0	50000000	7	13577	185	1816	1944	238
203	22/07/2023	1	6	12	20	34	0	50000000	8	23381	318	2080	3662	249
202	21/07/2023	20	30	37	38	39	0	50000000	2	69109	136	3594	1892	356
201	20/07/2023	3	12	31	38	39	0	50000000	3	52002	187	2950	2580	294
200	19/07/2023	5	25	29	34	40	0	50000000	4	33008	185	2523	2305	279
199	18/07/2023	8	26	29	30	37	0	50000000	3	52053	209	2642	2540	299
198	17/07/2023	8	9	15	27	34	0	50000000	10	12963	219	2093	2463	256
197	16/07/2023	3	14	19	29	33	0	50000000	4	24063	153	2224	1780	263
196	15/07/2023	17	28	33	34	37	0	50000000	6	31758	243	2773	2862	324
195	14/07/2023	12	16	17	19	33	0	50000000	16	9021	266	1919	2888	243
194	13/07/2023	12	13	21	27	29	0	50000000	8	19969	293	1928	3205	243
193	12/07/2023	10	28	29	30	31	0	50000000	8	17135	177	2738	2335	286
192	11/07/2023	9	14	17	30	35	0	50000000	6	26860	260	2192	2869	274
191	10/07/2023	15	18	21	28	32	0	50000000	3	44227	168	2793	2071	312
190	09/07/2023	3	7	24	34	35	0	50000000	7	14010	152	2281	1737	275
189	08/07/2023	8	12	23	24	32	0	50000000	16	12337	390	1789	3960	243
188	07/07/2023	4	15	21	28	30	0	50000000	5	28926	231	2214	2574	274
187	06/07/2023	3	11	21	23	37	0	50000000	14	11119	315	1747	3258	233
186	05/07/2023	15	25	29	35	36	0	50000000	3	47082	168	2973	2010	342
185	04/07/2023	10	14	27	36	38	0	50000000	7	23874	271	2180	2820	289
184	03/07/2023	2	4	5	25	29	0	50000000	10	14525	285	1802	3179	222
183	02/07/2023	18	20	21	35	37	0	50000000	3	34327	116	3139	1511	332
182	01/07/2023	1	5	14	20	30	0	50000000	14	14005	404	1716	4019	237
181	30/06/2023	9	13	21	22	39	0	50000000	10	14298	264	1915	2817	247
180	29/06/2023	3	5	20	26	35	0	50000000	9	17525	266	2096	3213	239
179	28/06/2023	2	15	26	31	40	0	50000000	4	34440	197	2473	2169	309
178	27/06/2023	8	14	28	32	40	0	50000000	9	17851	220	2582	2703	289
177	26/06/2023	6	14	20	26	34	0	50000000	10	13453	213	2233	2401	273
176	25/06/2023	3	15	18	22	39	0	50000000	8	12198	156	2212	1728	275
175	24/06/2023	19	21	29	30	36	0	50000000	11	17240	273	2456	3069	301
174	23/06/2023	2	12	16	20	30	0	50000000	8	17782	271	1856	2796	248
173	22/06/2023	6	22	28	38	40	0	50000000	11	14735	253	2265	2906	272
172	21/06/2023	12	21	24	33	34	0	50000000	4	34388	172	2828	2230	300
171	20/06/2023	5	17	21	25	26	0	50000000	6	27115	305	1886	3503	226
170	19/06/2023	6	13	22	26	35	0	50000000	8	17062	235	2054	2485	267
169	18/06/2023	3	7	18	20	40	0	50000000	5	20142	209	1704	2233	220
168	17/06/2023	12	22	23	39	40	0	50000000	4	49312	296	2356	3591	267
167	16/06/2023	11	15	16	24	25	0	50000000	4	37677	234	2277	2998	245
166	15/06/2023	8	30	33	34	38	0	50000000	7	24862	195	3156	2574	329
165	14/06/2023	9	13	19	28	34	0	50000000	8	18085	243	2105	2805	251
164	13/06/2023	8	9	14	30	31	0	50000000	8	21434	293	2069	3225	259
163	12/06/2023	21	30	35	36	38	0	50000000	1	142519	141	3574	1862	373
162	11/06/2023	12	23	24	31	34	0	50000000	4	26662	142	2656	1683	309
161	10/06/2023	3	5	13	18	19	0	50000000	14	14716	489	1489	5015	200
160	09/06/2023	3	6	26	27	31	0	50000000	8	19052	293	1839	3103	239
159	08/06/2023	3	9	24	25	31	0	50000000	12	14349	305	1996	3307	253
158	07/06/2023	9	23	25	27	33	0	50000000	4	36555	283	1827	2916	244
157	06/06/2023	26	28	34	37	40	0	50000000	5	34796	185	3325	2425	349
156	05/06/2023	2	9	16	22	36	0	50000000	7	20796	223	2308	2791	254
155	04/06/2023	6	13	30	34	35	0	50000000	3	36058	113	3385	1615	326
154	03/06/2023	2	16	17	18	40	0	50000000	11	19172	315	2367	3748	274
153	02/06/2023	7	29	33	36	40	0	50000000	8	14145	131	3054	1782	309
152	01/06/2023	4	11	13	18	31	0	50000000	9	19465	338	1832	3664	233
151	31/05/2023	3	9	29	32	34	0	50000000	6	23798	212	2381	2443	285
150	30/05/2023	6	20	27	31	33	0	50000000	6	27907	207	2860	3022	270
149	29/05/2023	6	7	25	26	39	0	50000000	2	68944	201	2426	2706	248
148	28/05/2023	5	12	17	21	32	0	50000000	5	20115	181	1965	2067	237
147	27/05/2023	3	12	14	27	36	0	50000000	11	18421	341	2101	3766	262
146	26/05/2023	8	14	18	27	37	0	50000000	6	25185	245	2181	2795	263
145	25/05/2023	18	24	25	27	32	1	50000000	11	15747	236	2595	2927	288
144	24/05/2023	5	16	20	26	28	0	50000000	14	10538	273	1911	2995	240
143	23/05/2023	1	17	28	33	36	0	50000000	10	17448	266	2319	2854	298
142	22/05/2023	3	25	26	30	32	0	50000000	4	36426	181	2846	2452	289
141	21/05/2023	2	6	11	23	38	0	50000000	7	15413	241	1583	2152	244
140	20/05/2023	2	20	35	38	40	0	50000000	7	30370	299	2514	3413	303
139	19/05/2023	3	21	24	26	35	0	50000000	3	52071	215	2569	2549	298
138	18/05/2023	20	23	24	34	39	0	50000000	3	60391	159	4029	2746	321
137	17/05/2023	5	22	31	36	37	0	50000000	7	22089	214	2555	2540	296
136	16/05/2023	3	20	27	37	39	0	50000000	3	58854	245	2548	3082	279
135	15/05/2023	5	26	31	36	39	0	50000000	6	24470	176	2950	2240	319
134	14/05/2023	1	12	13	16	19	0	50000000	5	21949	173	2243	2310	231
133	13/05/2023	8	18	19	22	39	0	50000000	11	19593	424	1797	4280	245
132	12/05/2023	6	9	14	15	21	0	50000000	12	13122	300	1856	3211	239
131	11/05/2023	10	26	30	31	37	0	50000000	9	20112	208	3077	2861	308
130	10/05/2023	6	17	18	29	37	0	50000000	7	22127	218	2512	2920	258
129	09/05/2023	6	12	18	21	35	0	50000000	13	14180	324	2012	3402	264
128	08/05/2023	5	16	22	34	37	0	50000000	10	15350	227	2391	2540	294
127	07/05/2023	4	8	27	29	32	0	50000000	4	28622	193	2097	2209	252
126	06/05/2023	8	10	19	23	24	0	50000000	11	19868	497	1555	5010	212
125	05/05/2023	2	18	21	27	35	0	50000000	8	20881	220	2685	2812	289
124	04/05/2023	17	20	31	33	38	0	50000000	6	31725	244	2758	3010	308
123	03/05/2023	6	10	24	26	29	0	50000000	8	20380	296	1947	3099	256
122	02/05/2023	11	14	16	17	20	0	50000000	5	39556	398	1757	4150	232
121	01/05/2023	11	12	24	33	35	0	50000000	6	17862	128	2961	1774	294
120	30/04/2023	10	14	19	24	33	0	50000000	6	19056	171	2364	2119	263
119	29/04/2023	7	20	22	34	35	0	50000000	5	45295	295	2715	3879	284
118	28/04/2023	15	18	20	25	32	0	50000000	10	16884	242	2467	2848	289
117	27/04/2023	7	10	11	25	30	0	50000000	18	10523	446	1501	4294	215
116	26/04/2023	2	17	30	37	40	0	50000000	8	20854	221	2669	2793	291
115	25/04/2023	4	5	9	25	26	0	50000000	11	10504	328	1245	2791	201
114	24/04/2023	19	24	25	30	38	0	50000000	10	18762	265	2503	3139	291
113	23/04/2023	7	15	21	31	33	0	50000000	2	57330	171	2371	2098	266
112	22/04/2023	5	10	13	14	17	0	50000000	22	10477	560	1455	5263	213
111	21/04/2023	3	9	26	27	29	0	50000000	12	14248	325	1860	3532	236
110	20/04/2023	7	34	35	36	40	0	50000000	3	65414	212	3273	2726	351
109	19/04/2023	14	21	22	23	38	0	50000000	4	41028	212	2737	2793	286
108	18/04/2023	2	13	22	35	38	0	50000000	6	32488	295	2336	3168	300
107	17/04/2023	3	5	16	26	40	0	50000000	9	17688	276	2039	3293	235
106	16/04/2023	12	16	24	25	34	0	50000000	5	22690	136	2950	1933	286
105	15/04/2023	1	26	27	35	38	0	50000000	7	32009	243	3260	3351	326
104	14/04/2023	2	17	22	25	31	0	50000000	8	20007	312	1814	2967	263
103	13/04/2023	5	17	20	24	25	0	50000000	14	12842	340	1870	3878	226
102	12/04/2023	6	12	14	21	23	0	50000000	12	12922	336	1632	3290	229
101	11/04/2023	4	7	11	16	23	1	50000000	31	6078	590	1129	4638	198
100	10/04/2023	4	14	22	25	39	0	50000000	2	50963	161	2238	1866	266
99	09/04/2023	4	13	20	31	35	0	50000000	6	16342	122	2842	1682	284
98	08/04/2023	1	5	6	23	31	0	50000000	12	17543	405	1838	4402	233
97	07/04/2023	1	2	14	18	40	0	50000000	7	23545	253	2303	2931	274
96	06/04/2023	19	20	36	37	40	0	50000000	2	90192	230	2773	2886	304
95	05/04/2023	12	16	18	25	27	0	50000000	7	22039	289	1887	2919	257
94	04/04/2023	2	6	22	27	37	0	50000000	9	19723	265	2368	3357	257
93	03/04/2023	9	11	13	16	20	0	50000000	14	10750	361	1474	3416	214
92	02/04/2023	4	6	17	19	37	0	50000000	7	15459	200	1913	2307	228
91	01/04/2023	5	20	27	28	31	1	50000000	12	17800	379	1993	4126	252
90	31/03/2023	14	19	22	36	39	0	50000000	5	31374	222	2498	2516	304
89	30/03/2023	2	10	19	38	39	0	50000000	4	43812	277	2237	3273	261
88	29/03/2023	5	14	17	22	24	0	50000000	7	21665	320	1676	3057	241
87	28/03/2023	18	21	28	29	37	0	50000000	4	44886	245	2591	2906	301
86	27/03/2023	6	9	15	36	39	0	50000000	7	21077	234	2229	2525	285
85	26/03/2023	5	6	25	30	35	0	50000000	3	36992	169	2322	1964	275
84	25/03/2023	8	9	12	38	40	0	50000000	13	16462	405	1868	4397	237
83	24/03/2023	8	10	22	25	29	0	50000000	9	17639	357	1572	3356	230
82	23/03/2023	10	11	12	15	30	0	50000000	11	16416	377	1693	3879	227
81	22/03/2023	17	23	33	35	36	0	50000000	4	38552	178	3063	2386	315
80	21/03/2023	22	23	37	39	40	0	50000000	3	61480	253	2578	2920	308
79	20/03/2023	2	9	10	11	16	0	50000000	7	21555	395	1350	3559	206
78	19/03/2023	4	10	18	28	36	0	50000000	8	13832	164	2386	1996	270
77	18/03/2023	2	10	11	15	18	0	50000000	10	21541	475	1603	4730	222
76	17/03/2023	2	3	17	31	32	0	50000000	2	83012	254	2311	3221	251
75	16/03/2023	3	4	11	21	24	0	50000000	8	22538	434	1469	4037	217
74	15/03/2023	13	21	23	32	33	0	50000000	12	12966	226	2434	2628	288
73	14/03/2023	6	9	26	27	30	0	50000000	13	14107	324	2001	3603	248
72	13/03/2023	4	15	25	34	36	0	50000000	10	15445	204	2677	2432	309
71	12/03/2023	3	8	9	14	32	0	50000000	8	14198	217	1851	2336	237
70	11/03/2023	5	12	25	27	28	0	50000000	11	19921	455	1703	4645	230
69	10/03/2023	9	10	12	16	26	1	50000000	9	17964	349	1638	3731	211
68	09/03/2023	5	19	32	33	37	0	50000000	7	26445	240	2727	3070	294
67	08/03/2023	8	13	24	31	34	0	50000000	6	26243	269	2070	2716	282
66	07/03/2023	1	4	7	22	39	1	50000000	8	23205	353	1859	3747	241
65	06/03/2023	2	6	8	24	35	0	50000000	7	22323	270	2046	2887	264
64	05/03/2023	10	12	23	30	37	0	50000000	4	29167	196	2105	2223	256
63	04/03/2023	4	12	23	31	35	0	50000000	6	37582	341	2338	4107	267
62	03/03/2023	5	15	22	31	40	0	50000000	4	42110	297	2005	3136	262
61	02/03/2023	10	21	27	33	35	0	50000000	10	19099	249	2712	3117	298
60	01/03/2023	8	14	23	25	37	0	50000000	9	18331	292	1998	3080	261
59	28/02/2023	32	33	36	39	40	0	50000000	7	26297	208	3129	2368	379
58	27/02/2023	8	22	30	32	36	0	50000000	3	51405	172	3170	2391	314
57	26/02/2023	4	11	19	33	36	0	50000000	4	27758	210	1869	2156	251
56	25/02/2023	2	3	13	36	40	0	50000000	8	27440	313	2480	4016	266
55	24/02/2023	10	19	21	23	36	0	50000000	6	27276	292	1982	3100	257
54	23/02/2023	4	6	14	21	23	0	50000000	13	14342	388	1699	3853	236
53	22/02/2023	8	13	19	21	29	0	50000000	8	19600	321	1727	3267	234
52	21/02/2023	13	14	15	30	39	0	50000000	8	22995	229	2841	2913	308
51	20/02/2023	1	5	10	25	33	0	50000000	13	11931	325	1687	3166	238
50	19/02/2023	7	17	29	31	34	0	50000000	5	23252	199	2066	2092	271
49	18/02/2023	6	14	24	29	40	0	50000000	14	15746	312	2498	3666	293
48	17/02/2023	2	8	25	32	35	0	50000000	6	28594	216	2809	2809	297
47	16/02/2023	4	16	17	28	37	0	50000000	9	21032	296	2261	3599	256
46	15/02/2023	3	12	16	29	39	0	50000000	6	26749	256	2217	3014	259
45	14/02/2023	2	16	23	29	33	0	50000000	8	23949	293	2312	3369	277
44	13/02/2023	1	16	18	23	37	0	50000000	2	78972	226	2471	2837	271
43	12/02/2023	13	20	34	38	40	0	50000000	4	28509	128	3150	1739	319
42	11/02/2023	2	10	15	34	35	0	50000000	5	45600	267	3019	3674	302
41	10/02/2023	13	14	15	28	32	0	50000000	5	33473	235	2518	2607	313
40	09/02/2023	13	15	20	21	28	0	50000000	8	23514	290	2293	3525	260
39	08/02/2023	5	9	16	34	39	0	50000000	8	20031	264	2146	2929	266
38	07/02/2023	6	11	19	32	40	0	50000000	11	17522	329	2071	3722	252
37	06/02/2023	20	29	37	38	39	0	50000000	1	157576	210	2653	2196	350
36	05/02/2023	10	12	17	19	27	0	50000000	10	11556	298	1371	2760	204
35	04/02/2023	10	17	18	22	29	0	50000000	13	17638	461	1759	4648	240
34	03/02/2023	8	19	22	26	40	0	50000000	9	18867	338	1776	3522	235
33	02/02/2023	1	5	11	13	16	0	50000000	14	13802	481	1420	4568	206
32	01/02/2023	4	5	6	36	40	1	50000000	9	18032	242	2371	3002	263
31	31/01/2023	3	9	13	14	20	0	50000000	14	13396	430	1542	4246	215
30	30/01/2023	2	12	20	37	40	0	50000000	7	22041	263	2074	2865	262
29	29/01/2023	10	21	29	32	34	0	50000000	1	110965	166	2364	1710	316
28	28/01/2023	9	27	37	39	40	0	50000000	8	27688	369	2122	3657	295
27	27/01/2023	1	5	16	27	32	0	50000000	1	163786	245	2364	3205	249
26	26/01/2023	4	16	26	27	37	0	50000000	7	26896	285	2336	3250	282
25	25/01/2023	7	12	18	37	39	0	50000000	5	31608	260	2149	2990	257
24	24/01/2023	12	14	17	20	35	0	50000000	18	10613	329	2053	3554	262
23	23/01/2023	2	19	26	37	40	0	50000000	5	30321	191	2807	2611	283
22	22/01/2023	6	7	20	34	36	0	50000000	4	28493	146	2760	1973	281
21	21/01/2023	6	8	11	18	19	0	50000000	22	10182	598	1324	5599	195
20	20/01/2023	12	20	23	27	38	0	50000000	10	16690	300	1967	3231	251
19	19/01/2023	4	5	20	25	31	0	50000000	14	13620	355	1899	3955	235
18	18/01/2023	2	4	9	11	36	0	50000000	5	32396	357	1604	3502	225
17	17/01/2023	3	6	11	13	38	0	50000000	15	12680	441	1525	4219	219
16	16/01/2023	8	12	15	16	28	0	50000000	8	19578	352	1573	3262	234
15	15/01/2023	3	6	18	24	38	0	50000000	10	11538	212	1924	2162	260
14	14/01/2023	5	8	19	20	27	1	50000000	19	11993	625	1289	5423	204
13	13/01/2023	5	12	15	17	33	0	50000000	8	21199	365	1643	3640	227
12	12/01/2023	4	8	13	28	32	0	50000000	11	17606	361	1897	3836	246
11	11/01/2023	5	8	16	26	36	0	50000000	8	20048	289	1962	3095	252
10	10/01/2023	5	21	28	29	40	0	50000000	6	31372	300	2218	3396	270
9	09/01/2023	19	20	26	27	39	0	50000000	7	22023	243	2243	2765	271
8	08/01/2023	18	19	24	26	31	0	50000000	4	28765	157	2591	1948	288
7	07/01/2023	6	17	20	34	35	0	50000000	4	56929	289	2786	3766	294
6	06/01/2023	3	13	22	24	40	0	50000000	2	61554	218	1997	2407	249
5	05/01/2023	3	13	22	25	26	0	50000000	11	18447	403	1780	4093	241
4	04/01/2023	3	7	10	34	40	0	50000000	9	18386	333	1757	3398	237
3	03/01/2023	3	6	28	38	39	0	50000000	5	38479	289	2354	3388	277
2	02/01/2023	4	8	30	31	36	0	50000000	9	17952	246	2322	2789	282
1	01/01/2023	7	9	14	19	32	0	50000000	4	22087	171	1827	1930	223
365	31/12/2022	5	10	12	32	37	0	50000000	12	18973	373	2158	4540	244
364	30/12/2022	5	8	16	20	39	0	50000000	14	13063	330	1959	3673	242
363	29/12/2022	5	21	26	27	31	0	50000000	7	28067	316	2198	3655	262
362	28/12/2022	1	10	18	20	39	0	50000000	8	20360	305	1888	3124	254
361	27/12/2022	4	8	22	28	38	0	50000000	10	19865	357	1967	3996	242
360	26/12/2022	4	8	9	10	39	0	50000000	5	19213	226	1503	2233	209
359	25/12/2022	1	8	22	29	36	0	50000000	11	7529	105	2789	1513	266
358	24/12/2022	16	17	18	19	20	1	50000000	18	11681	349	2130	3911	262
357	23/12/2022	2	9	25	38	40	0	50000000	8	21276	278	2165	3140	264
356	22/12/2022	1	9	17	32	38	0	50000000	7	26829	288	2306	3361	272
355	21/12/2022	6	19	22	32	36	0	50000000	3	52153	201	2752	2587	295
354	20/12/2022	3	13	16	23	34	0	50000000	7	26207	324	2002	3391	263
353	19/12/2022	3	7	10	28	37	0	50000000	9	16840	336	1595	3159	234
352	18/12/2022	3	7	19	20	27	0	50000000	9	12559	334	1196	2606	211
351	17/12/2022	2	11	12	24	37	0	50000000	4	52786	399	1871	4273	241
350	16/12/2022	11	19	26	38	40	0	50000000	6	25735	260	2100	3002	250
349	15/12/2022	11	16	17	26	40	0	50000000	8	21983	281	2213	3402	252
348	14/12/2022	2	20	22	30	32	0	50000000	10	14967	203	2607	2552	286
347	13/12/2022	11	18	29	30	32	0	50000000	7	26380	257	2541	3122	288
346	12/12/2022	12	15	18	28	40	0	50000000	11	14564	285	1987	2923	267
345	11/12/2022	10	18	27	29	32	0	50000000	8	13802	189	2066	1984	271
344	10/12/2022	1	2	20	26	29	0	50000000	3	65973	346	2022	3578	269
343	09/12/2022	7	11	15	21	23	0	50000000	13	12146	375	1489	3639	211
342	08/12/2022	3	5	15	34	37	0	50000000	3	40094	162	2625	2099	279
341	07/12/2022	1	18	21	29	39	0	50000000	5	32622	209	2760	2650	300
340	06/12/2022	6	30	33	36	39	0	50000000	8	22898	228	2841	2748	325
339	05/12/2022	2	8	13	22	31	0	50000000	9	16446	295	1774	3014	239
338	04/12/2022	1	20	21	26	37	0	50000000	2	55611	149	2639	1786	303
337	03/12/2022	4	8	13	36	40	0	50000000	11	19416	343	2202	4133	252
336	02/12/2022	8	12	25	31	37	0	50000000	10	15828	281	1992	2979	259
335	01/12/2022	8	14	34	35	38	0	50000000	4	45191	231	2767	2770	318
334	30/11/2022	3	5	24	28	29	0	50000000	6	24522	277	1878	2921	245
333	29/11/2022	15	22	24	28	32	0	50000000	7	24867	242	2543	2850	297
332	28/11/2022	5	7	9	16	33	0	50000000	13	11123	365	1401	3069	229
331	27/11/2022	21	25	28	37	38	0	50000000	4	26672	93	4057	1608	323
330	26/11/2022	9	10	27	31	36	0	50000000	4	52466	319	2326	3870	264
329	25/11/2022	24	28	32	37	39	0	50000000	3	50548	200	2681	2185	338
328	24/11/2022	3	9	13	20	40	0	50000000	7	25301	397	1577	3791	227
327	23/11/2022	8	17	21	24	35	0	50000000	5	30231	252	2121	2820	261
326	22/11/2022	3	4	25	31	37	0	50000000	9	19082	226	2687	3033	276
325	21/11/2022	4	12	14	18	24	0	50000000	11	13517	307	1712	2897	250
