Concorso	Data	Ruota	N1	N2	N3	N4	N5
63	27/05/2023	Milano	18	25	13	4	5
64	30/05/2023	Milano	20	13	19	40	11
65	01/06/2023	Napoli	45	38	37	25	42
66	03/06/2023	Napoli	31	21	38	39	17
67	06/06/2023	Napoli	15	44	25	41	9
68	08/06/2023	Napoli	20	26	5	4	38
69	10/06/2023	Napoli	19	19	21	35	43
70	13/06/2023	Napoli	38	19	10	27	3
71	15/06/2023	Napoli	40	5	10	7	17
72	17/06/2023	Napoli	31	38	11	21	24
73	20/06/2023	Napoli	7	29	5	18	22
74	22/06/2023	Napoli	38	1	28	25	35
75	24/06/2023	Napoli	37	22	20	11	27
76	27/06/2023	Napoli	42	17	29	24	7
77	29/06/2023	Napoli	31	42	8	44	32
78	01/07/2023	Nazionale	5	17	30	43	41
79	04/07/2023	Nazionale	44	45	5	40	17
80	06/07/2023	Nazionale	33	43	7	13	38
81	07/07/2023	Nazionale	21	18	12	42	17
82	08/07/2023	Nazionale	35	1	17	26	12
83	11/07/2023	Nazionale	35	30	2	43	17
84	13/07/2023	Nazionale	20	28	31	9	34
85	14/07/2023	Nazionale	21	14	33	12	19
86	15/07/2023	Nazionale	40	25	32	9	5
87	18/07/2023	Nazionale	27	26	1	42	36
88	20/07/2023	Nazionale	27	40	20	42	7
89	21/07/2023	Nazionale	1	45	37	13	40
90	22/07/2023	Nazionale	5	8	25	21	30
91	25/07/2023	Nazionale	32	24	7	40	23
92	27/07/2023	Nazionale	26	38	27	12	13
93	28/07/2023	Nazionale	3	37	36	5	4
94	29/07/2023	Nazionale	32	13	44	38	36
95	01/08/2023	Nazionale	20	27	23	7	31
96	03/08/2023	Nazionale	30	32	41	21	6
97	04/08/2023	Nazionale	41	38	43	37	39
98	05/08/2023	Nazionale	4	15	37	36	18
99	08/08/2023	Nazionale	27	13	41	10	25
100	10/08/2023	Nazionale	8	25	40	45	3
101	11/08/2023	Nazionale	14	18	4	28	33
102	12/08/2023	Nazionale	11	40	12	6	41
103	16/08/2023	Nazionale	35	2	9	36	21
104	17/08/2023	Nazionale	30	18	9	41	35
105	18/08/2023	Nazionale	34	3	42	20	1
106	19/08/2023	Nazionale	2	10	13	31	12
107	22/08/2023	Nazionale	34	10	39	30	24
108	24/08/2023	Nazionale	15	34	29	8	33
109	25/08/2023	Nazionale	36	3	12	11	35
110	26/08/2023	Nazionale	34	25	8	20	43
111	29/08/2023	Nazionale	22	6	25	40	24
112	31/08/2023	Nazionale	23	10	18	24	8
113	01/09/2023	Palermo	32	33	7	2	42
114	02/09/2023	Palermo	9	37	26	19	42
115	05/09/2023	Palermo	7	40	3	22	6
116	07/09/2023	Palermo	18	39	6	38	26
117	08/09/2023	Palermo	16	4	24	43	2
118	09/09/2023	Palermo	1	5	13	22	8
119	12/09/2023	Palermo	43	22	25	21	39
120	14/09/2023	Palermo	9	8	13	44	23
121	15/09/2023	Palermo	32	7	29	18	4
122	16/09/2023	Palermo	3	12	26	36	9
123	19/09/2023	Palermo	30	2	40	20	32
124	21/09/2023	Palermo	21	3	1	37	35
125	22/09/2023	Palermo	9	37	37	17	31
126	23/09/2023	Palermo	32	30	8	40	45
127	26/09/2023	Palermo	42	4	21	17	37
128	28/09/2023	Palermo	18	14	17	9	30
129	29/09/2023	Palermo	19	21	29	13	25
130	30/09/2023	Palermo	14	37	32	25	39
131	03/10/2023	Roma	21	18	24	32	39
132	05/10/2023	Roma	26	33	18	40	8
133	06/10/2023	Roma	13	2	23	42	44
134	07/10/2023	Roma	12	9	19	8	29
135	10/10/2023	Roma	28	1	45	25	13
136	12/10/2023	Roma	8	39	4	43	5
137	13/10/2023	Roma	22	15	41	5	19
138	14/10/2023	Roma	13	7	19	2	35
139	17/10/2023	Roma	19	39	22	6	36
140	19/10/2023	Roma	33	22	18	1	7
141	20/10/2023	Roma	24	20	28	44	1
142	21/10/2023	Roma	15	14	41	36	17
143	24/10/2023	Roma	28	6	21	8	1
144	26/10/2023	Roma	4	28	29	34	20
145	27/10/2023	Roma	37	15	19	2	38
146	28/10/2023	Roma	45	41	16	35	27
147	31/10/2023	Roma	13	2	12	8	3
148	02/11/2023	Torino	1	18	13	21	16
149	03/11/2023	Torino	26	17	15	24	40
150	04/11/2023	Torino	44	31	35	20	15
151	07/11/2023	Torino	11	25	26	21	13
152	09/11/2023	Torino	45	29	37	31	36
153	10/11/2023	Torino	15	25	4	16	31
154	11/11/2023	Torino	33	19	6	42	21
155	14/11/2023	Torino	41	44	22	28	30
156	16/11/2023	Torino	33	34	9	35	21
157	17/11/2023	Torino	12	20	3	14	34
158	18/11/2023	Torino	42	20	36	40	22
159	21/11/2023	Torino	30	27	39	22	41
160	23/11/2023	Torino	38	16	12	35	19
161	24/11/2023	Torino	16	35	18	27	25
162	25/11/2023	Torino	25	38	17	13	30
163	28/11/2023	Torino	34	13	31	38	18
164	30/11/2023	Torino	9	2	15	11	8
165	01/12/2023	Venezia	36	33	18	35	42
166	02/12/2023	Venezia	19	26	11	33	22
167	05/12/2023	Venezia	41	1	2	45	26
168	07/12/2023	Venezia	9	26	20	5	40
169	09/12/2023	Venezia	24	56	80	17	46
170	11/12/2023	Venezia	9	37	6	35	5
171	12/12/2023	Venezia	15	31	12	9	41
172	14/12/2023	Venezia	10	11	19	7	38
173	15/12/2023	Venezia	17	34	40	41	30
174	16/12/2023	Venezia	30	4	25	14	11
175	19/12/2023	Venezia	31	20	9	37	8
176	21/12/2023	Venezia	6	8	39	20	42
177	22/12/2023	Venezia	13	17	39	36	10
178	23/12/2023	Venezia	14	38	20	22	43
179	27/12/2023	Venezia	35	8	22	25	39
180	28/12/2023	Venezia	45	2	23	36	35
181	29/12/2023	Venezia	41	29	11	8	10
182	30/12/2023	Venezia	43	31	33	1	35
1	02/01/2024	Bari	32	22	24	34	2
2	04/01/2024	Bari	30	38	8	11	5
3	05/01/2024	Bari	20	13	45	25	39
4	08/01/2024	Bari	32	41	10	30	12
5	09/01/2024	Bari	18	23	40	1	19
6	11/01/2024	Bari	41	34	25	23	3
7	12/01/2024	Bari	38	27	17	34	42
8	13/01/2024	Bari	30	42	8	17	7
9	16/01/2024	Bari	9	12	32	37	7
10	18/01/2024	Bari	28	7	15	5	33
11	19/01/2024	Bari	9	35	20	26	2
12	20/01/2024	Bari	16	31	26	20	25
13	23/01/2024	Bari	40	2	5	4	11
14	25/01/2024	Bari	29	28	24	38	16
15	26/01/2024	Bari	16	23	31	39	21
16	27/01/2024	Bari	5	33	8	22	13
17	30/01/2024	Bari	38	13	19	17	16
18	01/02/2024	Cagliari	29	37	34	45	16
19	02/02/2024	Cagliari	27	21	26	7	39
20	03/02/2024	Cagliari	24	14	12	18	44
21	06/02/2024	Cagliari	2	19	43	8	41
22	08/02/2024	Cagliari	33	6	37	29	11
23	09/02/2024	Cagliari	44	24	39	41	42
24	10/02/2024	Cagliari	33	31	34	7	19
25	13/02/2024	Cagliari	31	34	8	43	3
26	15/02/2024	Cagliari	37	13	40	33	1
27	16/02/2024	Cagliari	37	34	1	23	18
28	17/02/2024	Cagliari	23	38	11	16	31
29	20/02/2024	Cagliari	26	36	39	40	10
30	22/02/2024	Cagliari	43	30	37	32	31
31	23/02/2024	Cagliari	23	18	14	25	28
32	24/02/2024	Cagliari	34	7	6	37	26
33	27/02/2024	Cagliari	5	30	25	44	42
34	29/02/2024	Cagliari	23	41	27	2	26
35	01/03/2024	Firenze	13	42	22	7	25
36	02/03/2024	Firenze	32	4	10	14	16
37	05/03/2024	Firenze	40	32	2	15	5
38	07/03/2024	Firenze	1	38	42	34	41
39	08/03/2024	Firenze	35	7	3	33	29
40	09/03/2024	Firenze	33	43	22	14	8
41	12/03/2024	Firenze	5	8	18	42	43
42	14/03/2024	Firenze	33	13	29	23	5
43	15/03/2024	Firenze	6	37	29	33	13
44	16/03/2024	Firenze	18	31	43	30	45
45	19/03/2024	Firenze	35	6	3	25	4
46	21/03/2024	Firenze	6	33	44	23	35
47	22/03/2024	Firenze	36	13	28	41	44
48	23/03/2024	Firenze	43	15	11	7	45
49	26/03/2024	Firenze	44	9	31	22	16
50	28/03/2024	Firenze	6	35	16	18	5
51	29/03/2024	Firenze	36	23	17	10	6
52	30/03/2024	Firenze	37	21	13	27	45
53	02/04/2024	Genova	20	11	12	29	25
54	04/04/2024	Genova	25	12	8	31	36
55	05/04/2024	Genova	43	20	2	45	37
56	06/04/2024	Genova	16	26	19	9	44
57	09/04/2024	Genova	4	17	40	23	16
58	11/04/2024	Genova	35	36	6	34	44
59	12/04/2024	Genova	1	41	21	9	43
60	13/04/2024	Genova	33	25	27	15	10
61	16/04/2024	Genova	10	14	28	18	15
62	18/04/2024	Genova	28	21	43	25	17
63	19/04/2024	Genova	2	20	25	12	19
64	20/04/2024	Genova	27	31	15	32	4
65	23/04/2024	Genova	24	2	19	3	27
66	26/04/2024	Genova	33	3	16	35	32
67	27/04/2024	Genova	37	2	21	34	13
68	29/04/2024	Genova	43	6	20	12	29
69	30/04/2024	Genova	3	5	45	40	19
70	02/05/2024	Milano	22	9	4	1	11
71	03/05/2024	Milano	19	22	24	6	32
72	04/05/2024	Milano	30	1	5	32	11
73	07/05/2024	Milano	17	16	25	23	43
74	09/05/2024	Milano	40	18	20	15	37
75	10/05/2024	Milano	19	7	9	10	39
76	11/05/2024	Milano	43	23	31	10	1
77	14/05/2024	Milano	15	32	2	33	4
78	16/05/2024	Milano	29	44	14	7	42
79	17/05/2024	Milano	26	7	17	44	39
80	18/05/2024	Milano	41	29	1	27	30
81	21/05/2024	Milano	31	39	13	17	35
82	23/05/2024	Milano	40	7	13	19	10
83	24/05/2024	Milano	6	1	42	17	5
84	25/05/2024	Milano	2	1	16	39	20
85	28/05/2024	Milano	8	32	22	44	4
86	30/05/2024	Milano	28	21	39	13	7
87	31/05/2024	Milano	16	2	14	7	33
88	01/06/2024	Napoli	45	7	33	39	35
89	04/06/2024	Napoli	28	36	23	24	31
90	06/06/2024	Napoli	4	33	13	42	43
91	07/06/2024	Napoli	17	7	23	13	15
92	08/06/2024	Napoli	38	4	28	34	23
93	11/06/2024	Napoli	28	17	23	45	33
94	13/06/2024	Napoli	5	37	40	18	33
95	14/06/2024	Napoli	6	10	34	4	24
96	15/06/2024	Napoli	37	26	20	11	38
97	18/06/2024	Napoli	19	41	18	12	10
98	20/06/2024	Napoli	28	17	6	39	11
99	21/06/2024	Napoli	14	12	42	3	6
100	22/06/2024	Napoli	11	21	28	35	18
101	25/06/2024	Napoli	24	27	43	40	12
102	27/06/2024	Napoli	24	34	9	15	28
103	28/06/2024	Napoli	10	36	3	44	12
104	29/06/2024	Napoli	28	43	24	32	13
105	02/07/2024	Nazionale	1	13	35	19	30
106	04/07/2024	Nazionale	22	40	2	37	23
107	05/07/2024	Nazionale	28	24	17	25	13
108	06/07/2024	Nazionale	4	26	27	24	10
109	09/07/2024	Nazionale	8	25	37	24	21
110	11/07/2024	Nazionale	25	9	37	10	40
111	12/07/2024	Nazionale	19	34	23	3	24
112	13/07/2024	Nazionale	3	13	14	18	6
113	16/07/2024	Nazionale	11	27	18	20	22
114	18/07/2024	Nazionale	10	8	12	44	27
115	19/07/2024	Nazionale	33	30	16	3	36
116	20/07/2024	Nazionale	3	14	1	16	33
117	23/07/2024	Nazionale	45	34	1	5	4
118	25/07/2024	Nazionale	9	22	4	32	8
119	26/07/2024	Nazionale	7	11	38	45	39
120	27/07/2024	Nazionale	2	44	22	20	30
121	30/07/2024	Nazionale	19	8	39	5	44
122	01/08/2024	Nazionale	16	18	34	23	35
123	02/08/2024	Nazionale	27	5	4	28	12
124	03/08/2024	Nazionale	35	18	45	4	25
125	06/08/2024	Nazionale	13	5	12	28	25
126	08/08/2024	Nazionale	21	41	33	29	7
127	09/08/2024	Nazionale	35	45	36	1	32
128	10/08/2024	Nazionale	26	44	28	11	37
129	13/08/2024	Nazionale	22	27	31	33	37
130	16/08/2024	Nazionale	26	12	13	33	2
131	17/08/2024	Nazionale	20	10	38	44	35
132	19/08/2024	Nazionale	26	44	35	8	39
133	20/08/2024	Nazionale	8	43	7	36	3
134	22/08/2024	Nazionale	10	1	14	36	38
135	23/08/2024	Nazionale	26	20	6	40	33
136	24/08/2024	Nazionale	11	24	42	36	38
137	27/08/2024	Nazionale	29	40	42	10	21
138	29/08/2024	Nazionale	35	8	45	14	33
139	30/08/2024	Nazionale	32	11	31	9	44
140	31/08/2024	Nazionale	22	12	5	35	29
141	03/09/2024	Palermo	33	15	7	32	55
142	05/09/2024	Palermo	24	41	1	31	23
143	06/09/2024	Palermo	45	10	26	16	20
144	07/09/2024	Palermo	22	15	14	45	37
145	10/09/2024	Palermo	10	8	34	9	25
146	12/09/2024	Palermo	23	9	3	35	15
147	13/09/2024	Palermo	18	25	8	3	32
148	14/09/2024	Palermo	26	1	19	35	27
149	17/09/2024	Palermo	44	12	22	36	20
150	19/09/2024	Palermo	11	17	35	31	8
151	20/09/2024	Palermo	9	40	35	25	7
152	21/09/2024	Palermo	20	25	36	30	38
153	24/09/2024	Palermo	29	44	22	45	15
154	26/09/2024	Palermo	31	5	26	6	32
155	27/09/2024	Palermo	2	17	21	39	38
156	28/09/2024	Palermo	19	7	10	45	36
157	01/10/2024	Roma	13	12	17	19	34
158	03/10/2024	Roma	16	5	22	32	29
159	04/10/2024	Roma	32	39	14	27	29
160	05/10/2024	Roma	27	33	19	35	12
161	08/10/2024	Roma	5	42	7	13	30
162	10/10/2024	Roma	22	42	31	23	40
163	11/10/2024	Roma	26	37	41	2	13
164	12/10/2024	Roma	7	42	25	32	22
165	15/10/2024	Roma	11	20	40	36	8
166	17/10/2024	Roma	36	28	20	43	4
167	18/10/2024	Roma	32	6	27	31	26
168	19/10/2024	Roma	18	24	45	29	23
169	22/10/2024	Roma	30	21	13	7	37
170	24/10/2024	Roma	44	3	25	45	9
171	25/10/2024	Roma	17	4	32	7	44
172	26/10/2024	Roma	30	7	29	22	24
173	29/10/2024	Roma	45	17	24	1	27
174	31/10/2024	Roma	40	29	22	45	35
175	02/11/2024	Torino	30	19	36	43	22
176	04/11/2024	Torino	23	41	2	20	27
177	05/11/2024	Torino	42	13	26	27	33
178	07/11/2024	Torino	39	40	44	36	25
179	08/11/2024	Torino	1	11	8	44	17
180	09/11/2024	Torino	35	13	18	16	32
181	12/11/2024	Torino	23	43	12	8	11
182	14/11/2024	Torino	3	16	27	17	29
183	15/11/2024	Torino	36	28	31	14	15
184	16/11/2024	Torino	28	33	23	3	21
185	19/11/2024	Torino	6	30	14	25	29
186	21/11/2024	Torino	31	38	42	6	10
187	22/11/2024	Torino	44	12	32	6	13
188	23/11/2024	Torino	43	42	12	39	22
189	26/11/2024	Torino	30	7	39	14	19
190	28/11/2024	Torino	42	18	32	7	24
191	29/11/2024	Torino	2	1	33	36	9
192	30/11/2024	Torino	14	10	34	44	16
193	03/12/2024	Venezia	42	15	8	5	32
194	05/12/2024	Venezia	35	42	40	15	9
195	06/12/2024	Venezia	29	33	35	44	17
196	07/12/2024	Venezia	23	25	8	30	5
197	10/12/2024	Venezia	14	33	16	44	11
198	12/12/2024	Venezia	18	17	4	28	29
199	13/12/2024	Venezia	8	13	40	16	39
200	14/12/2024	Venezia	14	32	20	16	34
201	17/12/2024	Venezia	22	19	11	14	45
202	19/12/2024	Venezia	30	13	42	22	5
203	20/12/2024	Venezia	20	11	3	13	9
204	21/12/2024	Venezia	21	44	8	30	4
205	24/12/2024	Venezia	44	23	6	30	10
206	27/12/2024	Venezia	41	36	23	11	16
207	28/12/2024	Venezia	7	5	24	3	32
208	30/12/2024	Venezia	1	29	11	36	10
209	31/12/2024	Venezia	34	17	29	14	28
1	02/01/2025	Bari	38	23	45	21	30
2	03/01/2025	Bari	16	43	15	37	26
3	04/01/2025	Bari	42	33	18	36	32
4	07/01/2025	Bari	6	22	29	11	31
5	09/01/2025	Bari	45	3	38	41	15
6	10/01/2025	Bari	6	7	37	33	38
7	11/01/2025	Bari	35	34	12	23	20
8	14/01/2025	Bari	7	14	28	45	31
9	16/01/2025	Bari	21	43	1	2	19
10	17/01/2025	Bari	14	24	17	13	8
11	18/01/2025	Bari	3	13	31	23	35
12	21/01/2025	Bari	39	36	34	14	31
13	23/01/2025	Bari	36	27	19	8	24
14	24/01/2025	Bari	19	23	25	34	20
15	25/01/2025	Bari	16	41	8	11	43
16	28/01/2025	Bari	35	40	32	28	30
17	30/01/2025	Bari	38	22	35	26	14
18	31/01/2025	Bari	45	37	1	41	17
19	01/02/2025	Cagliari	16	18	44	24	12
20	04/02/2025	Cagliari	4	10	21	16	35
21	06/02/2025	Cagliari	37	39	11	36	33
22	07/02/2025	Cagliari	15	37	24	44	42
23	08/02/2025	Cagliari	3	7	43	19	41
24	11/02/2025	Cagliari	14	8	4	16	27
25	13/02/2025	Cagliari	20	1	38	24	17
26	14/02/2025	Cagliari	6	43	12	29	23
27	15/02/2025	Cagliari	24	15	40	5	28
28	18/02/2025	Cagliari	39	30	4	11	14
29	20/02/2025	Cagliari	44	15	12	31	33
30	21/02/2025	Cagliari	16	6	30	32	7
31	22/02/2025	Cagliari	30	37	22	8	35
32	25/02/2025	Cagliari	40	13	35	6	19
33	27/02/2025	Cagliari	20	2	10	7	22
34	28/02/2025	Cagliari	33	11	17	9	37
35	01/03/2025	Firenze	6	15	9	28	2
36	04/03/2025	Firenze	38	26	20	45	10
37	06/03/2025	Firenze	24	29	14	16	45
38	07/03/2025	Firenze	39	44	41	23	29
39	08/03/2025	Firenze	20	13	37	24	8
40	11/03/2025	Firenze	26	39	27	16	1
41	13/03/2025	Firenze	11	21	43	22	39
42	14/03/2025	Firenze	37	33	21	38	2
43	15/03/2025	Firenze	13	15	6	25	33
44	18/03/2025	Firenze	19	42	14	40	33
45	20/03/2025	Firenze	42	10	5	38	45
46	21/03/2025	Firenze	24	31	8	20	2
47	22/03/2025	Firenze	18	27	17	15	1
48	25/03/2025	Firenze	7	1	11	8	9
49	27/03/2025	Firenze	3	15	14	12	39
50	28/03/2025	Firenze	8	5	41	30	33
51	29/03/2025	Firenze	34	40	2	14	44
52	01/04/2025	Genova	45	13	32	14	37
53	03/04/2025	Genova	25	7	38	14	18
54	04/04/2025	Genova	28	22	15	36	9
55	05-04.25	Genova	26	14	36	31	44
56	08/04/2025	Genova	11	34	3	35	19
57	10/04/2025	Genova	23	41	35	32	1
58	11/04/2025	Genova	24	30	7	14	34
59	12/04/2025	Genova	39	20	2	13	26
60	15/04/2025	Genova	13	12	14	33	24
61	17/04/2025	Genova	29	38	43	3	28
62	18/04/2025	Genova	27	30	8	20	4
63	19/04/2025	Genova	26	31	39	30	18
64	22/04/2025	Genova	27	20	13	14	25
65	24/04/2025	Genova	21	40	27	35	16
66	26/04/2025	Genova	10	22	15	9	34
67	28/04/2025	Genova	10	13	20	18	34
68	29/04/2025	Genova	10	12	24	40	45
69	02/05/2025	Milano	4	5	11	20	41
70	03/05/2025	Milano	2	7	9	32	34
71	05/05/2025	Milano	34	15	22	12	39
72	06/05/2025	Milano	34	21	7	16	1
73	08/05/2025	Milano	28	2	4	27	29
74	09/05/2025	Milano	20	19	43	18	17
75	10/05/2025	Milano	43	28	34	3	20
76	13/05/2025	Milano	37	8	43	3	19
77	15/05/2025	Milano	24	41	35	26	1
78	16/05/2025	Milano	4	36	33	7	12
79	17/05/2025	Milano	21	4	16	32	26
80	20/05/2025	Milano	40	9	27	33	20
81	22/05/2025	Milano	25	39	28	36	1
82	23/05/2025	Milano	2	30	44	7	31
83	24/05/2025	Milano	45	30	11	28	6
84	27/05/2025	Milano	42	4	44	34	7
85	29/05/2025	Milano	45	26	36	8	22
86	30/05/2025	Milano	16	22	33	36	32
87	31/05/2025	Milano	41	25	12	8	22
88	03/06/2025	Napoli	12	22	38	33	41
89	05/06/2025	Napoli	7	25	6	28	13
90	06/06/2025	Napoli	25	33	17	11	40
91	07/06/2025	Napoli	43	8	1	35	15
92	10/06/2025	Napoli	31	25	11	6	16
93	12/06/2025	Napoli	23	3	4	17	2
94	13/06/2025	Napoli	8	36	22	42	45
95	14/06/2025	Napoli	6	18	7	23	13
96	17/06/2025	Napoli	30	33	28	44	11
97	19/06/2025	Napoli	43	35	11	26	40
98	20/06/2025	Napoli	15	35	27	25	14
99	21/06/2025	Napoli	2	40	6	26	29
100	24/06/2025	Napoli	11	9	37	27	19
101	26/06/2025	Napoli	19	12	25	36	1
102	27/06/2025	Napoli	24	43	1	23	39
103	28/06/2025	Napoli	25	1	41	45	38
104	01/07/2025	Nazionale	34	27	8	12	17
105	03/07/2025	Nazionale	34	3	11	7	32
106	04/07/2025	Nazionale	12	31	32	4	44
107	05/07/2025	Nazionale	2	32	40	16	19
108	08/07/2025	Nazionale	33	27	20	14	11
109	10/07/2025	Nazionale	29	13	42	17	7
110	11/07/2025	Nazionale	12	34	36	10	39
111	12/07/2025	Nazionale	2	26	1	8	17
112	15/07/2025	Nazionale	27	9	44	18	11
113	17/07/2025	Nazionale	39	26	40	23	24
114	18/07/2025	Nazionale	39	18	27	28	20
115	19/07/2025	Nazionale	16	32	21	19	3
116	22/07/2025	Nazionale	18	24	3	21	15
117	24/07/2025	Nazionale	32	7	29	37	28
118	25/07/2025	Nazionale	9	13	5	38	3
119	26/07/2025	Nazionale	25	23	13	40	35
120	29/07/2025	Nazionale	3	35	36	16	28
121	31/07/2025	Nazionale	21	19	1	17	43
122	01/08/2025	Nazionale	30	37	17	41	8
123	02/08/2025	Nazionale	41	7	11	17	22
124	05/08/2025	Nazionale	14	5	44	38	29
125	07/08/2025	Nazionale	9	2	28	34	15
126	08/08/2025	Nazionale	37	28	42	2	26
127	09/08/2025	Nazionale	16	8	45	17	32
128	12/08/2025	Nazionale	25	28	19	34	36
129	14/08/2025	Nazionale	30	35	8	43	17
130	16/08/2025	Nazionale	28	26	27	21	37
131	18/08/2025	Nazionale	11	42	6	1	41
132	19/08/2025	Nazionale	3	41	27	7	30
133	21/08/2025	Nazionale	20	24	28	33	1
134	22/08/2025	Nazionale	7	24	42	16	3
135	23/08/2025	Nazionale	41	44	4	7	21
136	26/08/2025	Nazionale	28	39	26	38	4
137	28/08/2025	Nazionale	44	34	8	39	40
138	29/08/2025	Nazionale	35	41	16	30	31
139	30/08/2025	Nazionale	24	15	10	3	7
140	02/09/2025	Palermo	13	19	29	1	33
141	04/09/2025	Palermo	17	10	1	28	5
142	05/09/2025	Palermo	39	2	26	8	11
143	06/09/2025	Palermo	39	34	2	8	43
144	09/09/2025	Palermo	42	33	44	16	36
145	11/09/2025	Palermo	18	30	17	6	21
146	12/09/2025	Palermo	21	11	22	28	4
147	13/09/2025	Palermo	8	42	27	30	20
148	16/09/2025	Palermo	21	19	27	36	18
149	18/09/2025	Palermo	7	18	33	28	19
150	19/09/2025	Palermo	13	17	42	9	28
151	20/09/2025	Palermo	24	20	2	1	23
152	23/09/2025	Palermo	11	17	44	5	43
153	25/09/2025	Palermo	28	17	32	21	15
154	26/09/2025	Palermo	28	35	19	27	13
155	27/09/2025	Palermo	3	4	24	45	29
156	30/09/2025	Palermo	41	40	45	13	10
157	02/10/2025	Roma	27	44	8	3	42
158	03/10/2025	Roma	35	4	42	10	31
159	04/10/2025	Roma	8	5	21	30	10
160	07/10/2025	Roma	18	37	7	22	9
161	09/10/2025	Roma	25	7	23	17	30
162	1010.25	Roma	36	37	35	21	31
163	11/10/2025	Roma	10	11	43	13	4
164	14/10/2025	Roma	26	2	15	45	40
165	16/10/2025	Roma	29	2	24	3	37
166	17/10/2025	Roma	42	38	16	25	34
167	18/10/2025	Roma	8	26	28	22	40
168	21/10/2025	Roma	18	24	21	32	33
169	23/10/2025	Roma	43	22	12	1	33
170	24/10/2025	Roma	11	37	5	27	28
171	25/10/2025	Roma	34	26	9	31	4
172	28/10/2025	Roma	44	34	11	25	16
173	30/10/2025	Roma	7	1	28	12	33
174	31/10/2025	Roma	9	15	20	32	42
175	03/11/2025	Torino	13	6	40	2	10
176	04/11/2025	Torino	11	7	25	17	13
177	06/11/2025	Torino	12	37	14	25	11
178	07/11/2025	Torino	27	21	30	20	7
179	08/11/2025	Torino	42	29	30	11	9
180	11/11/2025	Torino	13	23	44	8	25
181	13/11/2025	Torino	20	44	35	10	23
182	14/11/2025	Torino	8	17	45	1	38
183	15/11/2025	Torino	35	5	10	13	26
184	18/11/2025	Torino	24	44	23	21	2
185	20/11/2025	Torino	12	11	33	24	29
186	21/11/2025	Torino	35	22	4	43	14
187	22/11/2025	Torino	26	34	10	42	33
188	25/11/2025	Torino	38	33	41	2	40
189	27/11/2025	Torino	11	43	35	33	19
190	28/11/2025	Torino	43	37	39	17	35
191	29/11/2025	Torino	4	9	3	21	15
192	02/12/2025	Venezia	10	1	23	24	31
193	04/12/2025	Venezia	26	25	39	29	34
194	05/12/2025	Venezia	44	31	9	17	12
195	06/12/2025	Venezia	21	13	26	33	29
196	09/12/2025	Venezia	26	35	9	10	25
197	11/12/2025	Venezia	12	10	18	16	20
198	12/12/2025	Venezia	24	21	18	5	16
199	13/12/2025	Venezia	5	13	40	35	10
200	16/12/2025	Venezia	28	37	27	40	10
201	18/12/2025	Venezia	38	12	34	27	24
202	19/12/2025	Venezia	30	10	43	28	21
203	20/12/2025	Venezia	11	4	17	31	30
204	23/12/2025	Venezia	44	30	27	40	12
205	24/12/2025	Venezia	41	15	45	32	10
206	27/12/2025	Venezia	10	36	41	3	17
207	29/12/2025	Venezia	20	29	33	15	1
208	30/12/2025	Venezia	35	40	24	31	6
1	02/01/2026	Bari	42	36	18	34	40
2	03/01/2026	Bari	38	28	36	8	18
3	05/01/2026	Bari	29	9	35	2	39
4	07/01/2026	Bari	6	24	45	8	40
5	08/01/2026	Bari	30	14	39	22	43
6	09/01/2026	Bari	9	11	12	20	8
7	10/01/2026	Bari	12	29	24	1	26
8	13/01/2026	Bari	26	43	3	22	42
9	15/01/2026	Bari	40	28	35	16	9
10	16/01/2026	Bari	35	3	19	27	36
11	17/01/2026	Bari	37	18	36	22	13
12	20/01/2026	Bari	41	22	5	13	1
13	22/01/2026	Bari	6	60	67	43	33
14	23/01/2026	Bari	28	23	38	10	18
15	24/01/2026	Bari	9	18	15	38	39
16	27/01/2026	Bari	41	36	42	12	29
17	29/01/2026	Bari	24	42	10	37	25
18	30/01/2026	Bari	9	35	13	32	33
19	31/01/2026	Bari	42	9	38	24	34
20	03/02/2026	Cagliari	5	12	13	20	38
21	05/02/2026	Cagliari	42	44	32	31	6
22	06/02/2026	Cagliari	1	21	5	44	25
23	07/02/2026	Cagliari	39	29	26	20	25
24	10/02/2026	Cagliari	22	24	6	29	11
25	12/02/2026	Cagliari	40	14	26	4	19
26	13/02/2026	Cagliari	21	42	40	9	31
27	14/02/2026	Cagliari	37	39	41	44	13
28	17/02/2026	Cagliari	1	41	21	44	28
29	19/02/2026	Cagliari	19	5	27	40	37
30	20/02/2026	Cagliari	6	35	21	26	34
31	21/02/2026	Cagliari	42	15	21	19	13
32	24/02/2026	Cagliari	25	34	31	3	13
33	26/02/2026	Cagliari	38	31	22	29	39
34	27/02/2026	Cagliari	39	10	44	35	12
35	28/02/2026	Cagliari	44	42	4	41	20
0	18/03/2026	FI	20	27	29	15	40
0	19/03/2026	FI	38	11	27	10	26
0	20/03/2026	FI	6	38	14	12	2
0	23/03/2026	FI	7	8	19	35	4
0	25/03/2026	FI	27	22	31	16	13
0	26/03/2026	FI	31	38	24	39	15
0	27/03/2026	FI	2	38	33	11	39
0	30/03/2026	FI	6	16	22	20	27
0	01/04/2026	GE	44	16	32	6	34
0	02/04/2026	GE	22	17	41	28	18
0	03/04/2026	GE	34	36	17	40	32
0	06/04/2026	GE	7	37	43	24	27
0	08/04/2026	GE	39	12	45	14	13
0	09/04/2026	GE	19	4	24	28	21
